Reference, Value, Footprint, Datasheet, MPN, OC_FARNELL, OC_NEWARK, PACKAGE, SUPPLIER, MANUFACTURER, MAXIMUM_PACKAGE_HEIGHT, PARTREV, STANDARD
"J6","CQ-USB-C16PSMT01","CQ-USB-C16PSMT01:SHENZHEN-CHUANGQIN-TECHNOLOGY_CQ-USB-C16PSMT01","","","","","","","Shenzhen Chuangpin Science and Technology","3.36mm","A","Manufacturer Recommendations"
"R18","0R","Resistor_SMD:R_0805_2012Metric","~"
"R17","0R","Resistor_SMD:R_0805_2012Metric","~"
"U4","AMS1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf"
"C23","10uF","Capacitor_SMD:C_0805_2012Metric","~"
"C25","10uF","Capacitor_SMD:C_0805_2012Metric","~"
"D3","LED_Purple","LED_SMD:LED_0805_2012Metric","~"
"R27","330R","Resistor_SMD:R_0805_2012Metric","~"
"P2","BeagleBone_Black_Header","Socket_BeagleBone_Black:Socket_BeagleBone_Black","~"
"R3","10k","Resistor_SMD:R_0805_2012Metric","~"
"R6","10k","Resistor_SMD:R_0805_2012Metric","~"
"R4","10k","Resistor_SMD:R_0805_2012Metric","~"
"U1","24LC02","Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm","http://ww1.microchip.com/downloads/en/DeviceDoc/21709c.pdf"
"J2","Conn_01x03_Male","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"R1","33k","Resistor_SMD:R_0805_2012Metric","~"
"R2","33k","Resistor_SMD:R_0805_2012Metric","~"
"R5","33k","Resistor_SMD:R_0805_2012Metric","~"
"R7","33k","Resistor_SMD:R_0805_2012Metric","~"
"R8","33k","Resistor_SMD:R_0805_2012Metric","~"
"R9","33k","Resistor_SMD:R_0805_2012Metric","~"
"R10","33k","Resistor_SMD:R_0805_2012Metric","~"
"SW1","SW_DIP_x08","Button_Switch_SMD:SW_DIP_SPSTx08_Slide_9.78x22.5mm_W8.61mm_P2.54mm","~"
"J7","Conn_01x04","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
"J3","Conn_02x07_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x07_P2.54mm_Vertical","~"
"R11","33k","Resistor_SMD:R_0805_2012Metric","~"
"R25","0R","Resistor_SMD:R_0805_2012Metric","~"
"R24","0R","Resistor_SMD:R_0805_2012Metric","~"
"R23","0R","Resistor_SMD:R_0805_2012Metric","~"
"R22","0R","Resistor_SMD:R_0805_2012Metric","~"
"R21","0R","Resistor_SMD:R_0805_2012Metric","~"
"R20","0R","Resistor_SMD:R_0805_2012Metric","~"
"R19","0R","Resistor_SMD:R_0805_2012Metric","~"
"R14","10k","Resistor_SMD:R_0805_2012Metric","~"
"C21","10uF","Capacitor_SMD:C_0805_2012Metric","~"
"C19","10uF","Capacitor_SMD:C_0805_2012Metric","~"
"C20","10uF","Capacitor_SMD:C_0805_2012Metric","~"
"Y1","Crystal 8M","Crystal:Crystal_SMD_HC49-SD","~"
"R12","10k","Resistor_SMD:R_0805_2012Metric","~"
"R13","10k","Resistor_SMD:R_0805_2012Metric","~"
"SW2","SW_Push","Button_Switch_SMD:SW_SPST_CK_KXT3","~"
"R16","330R","Resistor_SMD:R_0805_2012Metric","~"
"R15","1k","Resistor_SMD:R_0805_2012Metric","~"
"SW3","SW_Push","Button_Switch_SMD:SW_SPST_CK_KXT3","~"
"D1","LED","LED_SMD:LED_0805_2012Metric","~"
"J4","Conn_01x04","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
"J5","Conn_01x08","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","~"
"U5","STM32F103RBTx","Package_QFP:LQFP-64_10x10mm_P0.5mm","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/CD00161566.pdf"
"J8","Conn_01x08","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","~"
